	交易日期,	记账日期,	交易摘要,	交易地点,	卡号末四位,	人民币金额,	交易地金额
	2019-08-22,	尚未入账,	财付通还款,	CN,	0666,	￥-100.00,"100.00"
	2019-08-23,	尚未入账,	支付宝-上海金时代顺风大酒店四平路店,	CN,	0666,	￥390.00,"390.00"
	2019-08-22,	尚未入账,	支付宝-上海拉扎斯信息科技有限公司,	CN,	0116,	￥20.88,"20.88"
	2019-08-22,	尚未入账,	支付宝-上海拉扎斯信息科技有限公司,	CN,	0116,	￥26.88,"26.88"
	2019-08-22,	尚未入账,	支付宝-西府煲肉夹馍上海国济路店,	CN,	0116,	￥18.00,"18.00"
	2019-08-22,	尚未入账,	美团点评-美团支付-美团支付,	CN,	0666,	￥180.00,"180.00"
	2019-08-22,	尚未入账,	支付宝-信食汇,	CN,	0666,	￥76.00,"76.00"
	2019-08-09,	2019-08-10,	掌上生活还款回馈金,	,"8327",	￥-0.18,"-0.18"
	2019-08-09,	2019-08-10,	掌上生活还款回馈金,	,"8327",	￥-0.18,"-0.18"
	2019-08-09,	2019-08-10,	掌上理财还款,	,"9978",	￥-5.36,"-5.36"
	2019-06-20,	2019-08-21,	招商银行网上商城 003-012,	,	0116,	￥283.25,"283.25"
	2019-08-04,	2019-08-09,	支付宝-三立人（深圳）科技有限公司,	CN,	0666,	￥-17.52,"-17.52"
	2019-08-06,	2019-08-20,	大众出行,	CN,	0116,	￥-100.00,"-100.00"
	2019-08-07,	2019-08-08,	餐饮优惠券,	,	0116,	￥86.00,"86.00"
	2019-08-07,	2019-08-08,	美团点评-美团支付-美团支付,	CN,	0666,	￥180.00,"180.00"
	2019-08-08,	2019-08-09,	支付宝-江西凌渲电子商务有限公司,	CN,	0666,	￥271.59,"271.59"
	2019-08-08,	2019-08-09,	支付宝-汕头市嘉懋贸易有限公司,	CN,	0666,	￥263.08,"263.08"
	2019-08-08,	2019-08-09,	美团点评-美团支付-美团支付,	CN,	0666,	￥180.00,"180.00"
	2019-08-08,	2019-08-09,	支付宝-信食汇,	CN,	0666,	￥111.00,"111.00"
	2019-08-08,	2019-08-09,	京东到家                (MI PAY:9361),	CN,	0666,	￥56.35,"56.35"
	2019-08-08,	2019-08-18,	支付宝-江西凌渲电子商务有限公司,	CN,	0666,	￥-10.82,"-10.82"
	2019-08-08,	2019-08-18,	支付宝-江西凌渲电子商务有限公司,	CN,	0666,	￥-26.97,"-26.97"
	2019-08-08,	2019-08-18,	支付宝-江西凌渲电子商务有限公司,	CN,	0666,	￥-21.65,"-21.65"
	2019-08-08,	2019-08-18,	支付宝-江西凌渲电子商务有限公司,	CN,	0666,	￥-11.73,"-11.73"
